State,City,Vehicle_Type,Weather,Road_Type,Time,Year,Total_Accidents,Fatal_Accidents,Accident_Severity
Uttar Pradesh,Chennai,Van,Dusty,Highway,Morning,2018,35747,897,1
Karnataka,Kochi,Bus,Foggy,Rural,Evening,2021,4598,137,1
Bihar,Chennai,Auto,Rainy,Urban,Evening,2020,23983,9340,3
Kerala,Kolkata,Van,Rainy,Highway,Evening,2018,37348,7358,3
Uttar Pradesh,Lucknow,Auto,Rainy,Highway,Night,2022,21110,9453,3
West Bengal,Mumbai,Auto,Clear,Rural,Night,2018,2473,7476,3
Tamil Nadu,Jaipur,Bus,Foggy,Highway,Afternoon,2022,17907,4256,3
Uttar Pradesh,Jaipur,Auto,Clear,Rural,Afternoon,2020,21139,4453,3
Bihar,Kochi,Truck,Dusty,Urban,Afternoon,2018,26494,234,1
Kerala,Jaipur,Car,Foggy,Rural,Evening,2019,1555,2483,3
Karnataka,Kolkata,Bus,Clear,Highway,Night,2020,19414,3172,3
Bihar,Ahmedabad,Car,Rainy,Rural,Night,2018,15445,2873,3
Bihar,Kochi,Truck,Foggy,Rural,Afternoon,2021,25932,8377,3
Tamil Nadu,Chennai,Bike,Rainy,Urban,Evening,2018,8325,6910,3
Gujarat,Patna,Bike,Dusty,Rural,Morning,2018,40950,6815,3
Kerala,Bangalore,Van,Foggy,Urban,Evening,2019,21775,5767,3
Delhi,Kolkata,Bike,Dusty,Highway,Evening,2020,17685,9092,3
Bihar,Chennai,Bus,Dusty,Highway,Afternoon,2021,33609,7668,3
Gujarat,Ahmedabad,Bike,Dusty,Rural,Night,2020,10088,6056,3
Delhi,Patna,Bus,Foggy,Rural,Night,2020,18193,4102,3
Kerala,Jaipur,Bus,Dusty,Highway,Morning,2021,7203,5686,3
Maharashtra,Ahmedabad,Car,Clear,Highway,Night,2021,17460,7118,3
West Bengal,Kochi,Bike,Clear,Highway,Night,2019,37296,2322,2
Gujarat,New Delhi,Auto,Dusty,Rural,Morning,2022,19078,9157,3
Rajasthan,New Delhi,Bike,Rainy,Highway,Morning,2019,37318,5820,3
Maharashtra,Jaipur,Bike,Dusty,Rural,Afternoon,2021,22513,1182,2
West Bengal,New Delhi,Bike,Dusty,Highway,Afternoon,2018,49649,5792,2
Tamil Nadu,New Delhi,Van,Rainy,Highway,Afternoon,2018,5916,8697,3
Uttar Pradesh,Chennai,Auto,Foggy,Rural,Afternoon,2020,46928,2634,2
Karnataka,Chennai,Auto,Foggy,Urban,Night,2020,41950,8574,3
Rajasthan,Bangalore,Bus,Dusty,Rural,Afternoon,2022,5606,9028,3
Tamil Nadu,Lucknow,Auto,Clear,Urban,Evening,2022,31924,4651,2
Kerala,Jaipur,Bus,Clear,Rural,Morning,2022,47388,321,1
Tamil Nadu,New Delhi,Car,Clear,Urban,Afternoon,2022,30318,3027,2
Uttar Pradesh,Bangalore,Bus,Dusty,Urban,Morning,2018,12052,7869,3
Kerala,Jaipur,Bike,Clear,Urban,Night,2021,17623,9842,3
Rajasthan,New Delhi,Truck,Clear,Rural,Afternoon,2022,49097,2055,1
Uttar Pradesh,Kolkata,Truck,Foggy,Rural,Evening,2019,33777,8144,3
Delhi,Mumbai,Van,Dusty,Rural,Morning,2022,33861,815,1
Karnataka,Kolkata,Bike,Foggy,Urban,Afternoon,2018,48516,1164,1
Rajasthan,Patna,Bus,Rainy,Urban,Evening,2020,11219,7696,3
Delhi,Jaipur,Bike,Foggy,Rural,Night,2019,45127,4975,2
West Bengal,Lucknow,Van,Dusty,Rural,Evening,2022,26538,8999,3
Rajasthan,Patna,Auto,Clear,Highway,Night,2018,31946,6493,3
West Bengal,Bangalore,Bus,Dusty,Highway,Morning,2020,45519,2854,2
Kerala,Bangalore,Bike,Foggy,Highway,Afternoon,2022,22177,5827,3
Delhi,New Delhi,Auto,Dusty,Highway,Evening,2018,41274,5949,2
Karnataka,Patna,Van,Dusty,Highway,Evening,2018,49756,2151,1
Uttar Pradesh,New Delhi,Auto,Foggy,Rural,Evening,2021,10284,8740,3
Bihar,Jaipur,Bus,Foggy,Urban,Night,2018,5383,8802,3
Tamil Nadu,Bangalore,Van,Rainy,Urban,Morning,2022,28828,7784,3
Maharashtra,Mumbai,Van,Rainy,Rural,Morning,2018,4322,7141,3
