Origin,Dest,Distance,Month,DayOfWeek,Hour,Weather_Rain,Weather_Wind,Visibility,Temperature,Delay_Status
LAS,SEA,3322,11,1,22,28.61,50.15,5.53,-0.05,1
ATL,MSP,1294,7,7,19,7.37,39.47,1.1,1.07,1
DFW,MSP,679,8,5,16,39.29,3.87,6.51,32.31,1
LAS,MSP,3831,4,2,2,38.59,23.46,9.28,35.16,1
ORD,BOS,3290,7,1,8,35.11,16.72,2.0,1.14,1
CLT,MSP,1997,4,7,4,55.54,34.68,6.32,-7.03,1
DFW,PHX,2331,3,7,5,62.44,31.37,7.56,-5.48,1
DFW,SEA,3426,6,1,3,56.31,28.87,1.64,3.07,1
LAS,DTW,2812,4,4,16,10.79,18.87,1.2,28.07,1
LAX,MSP,2866,3,6,20,46.65,8.27,5.18,15.5,1
ORD,SFO,2604,9,5,20,6.02,44.54,8.12,12.78,1
LAS,DTW,1015,5,6,20,52.1,52.79,2.45,19.21,1
ORD,BOS,2894,7,7,15,28.64,56.65,8.53,34.51,1
ORD,PHX,642,12,5,15,9.94,3.52,6.91,-5.48,1
CLT,SFO,3340,6,7,21,64.65,44.39,3.99,24.74,1
DFW,SFO,2770,10,2,10,46.05,43.59,5.64,36.34,1
ATL,SFO,342,5,2,1,26.6,56.83,9.69,0.67,1
CLT,SFO,391,7,1,16,2.3,15.17,2.95,31.89,1
CLT,DTW,1610,11,5,14,40.3,44.53,5.5,24.9,1
ORD,DTW,577,6,5,17,69.24,3.28,6.62,-9.28,1
DEN,SEA,2828,10,7,9,44.73,37.87,2.24,1.58,1
DFW,MSP,734,2,6,5,72.87,21.05,1.39,20.29,1
LAX,IAH,1916,3,2,20,10.23,46.13,1.12,15.12,1
CLT,SEA,3564,2,3,15,42.62,51.8,3.92,16.4,1
ATL,SEA,1232,12,1,4,59.86,21.89,1.67,1.6,1
DEN,PHX,3542,3,5,11,39.42,31.54,8.23,23.75,1
DEN,PHX,1610,1,4,5,6.83,7.04,9.98,3.32,0
LAX,MSP,2340,8,4,13,43.72,25.01,1.55,9.47,1
CLT,IAH,2189,6,3,22,45.88,21.65,4.89,8.45,1
ATL,PHX,2776,2,2,15,54.65,10.99,1.23,23.6,1
DFW,MSP,1377,8,2,6,57.09,53.67,2.21,-5.49,1
JFK,MSP,604,6,2,1,57.81,8.89,3.91,0.28,1
ATL,DTW,3087,7,6,5,49.76,38.14,4.54,0.02,1
LAX,MIA,1372,11,7,8,16.19,53.41,9.46,-4.58,1
DEN,DTW,1088,1,4,6,30.32,54.72,4.56,0.38,1
DFW,IAH,3538,7,2,1,58.21,47.59,5.47,20.35,1
ATL,PHX,621,3,4,18,71.51,10.57,3.21,26.61,1
JFK,IAH,1841,11,3,7,5.92,49.05,1.0,23.02,1
JFK,SEA,671,12,1,10,40.17,16.59,9.09,13.76,1
ORD,SEA,3140,8,7,3,23.44,55.34,1.74,-7.38,1
ORD,IAH,746,6,6,15,16.9,42.55,9.68,37.95,1
LAS,MIA,830,4,5,17,37.94,47.12,2.18,-1.6,1
LAX,MIA,3797,11,3,12,45.46,5.1,6.44,23.42,1
CLT,DTW,3774,8,7,4,0.73,34.97,9.99,35.64,1
ATL,IAH,1237,9,4,1,58.52,49.27,2.25,24.89,1
ATL,PHX,3025,10,3,10,61.49,51.7,4.82,0.9,1
CLT,DTW,3923,2,5,0,72.41,1.72,8.02,5.79,1
LAS,BOS,2029,6,7,12,13.55,56.35,1.29,-8.49,1
DEN,MIA,563,5,6,4,44.59,2.6,7.21,20.64,1
DEN,SFO,2366,5,1,17,32.0,36.87,1.72,20.65,1
LAS,DTW,3509,10,5,13,25.11,41.6,3.13,26.28,1
DEN,SEA,745,11,7,12,42.42,6.44,2.44,-9.45,1
ORD,DTW,3440,3,6,6,58.68,2.88,9.17,30.89,1
ATL,IAH,2769,12,4,7,1.73,47.09,2.62,26.94,1
LAS,SFO,833,8,5,17,72.71,23.08,1.36,-2.96,1
ATL,IAH,2136,8,3,6,60.74,6.43,6.29,7.38,1
CLT,MSP,1880,12,2,19,56.34,45.76,4.12,21.93,1
JFK,SEA,1162,5,3,16,57.03,50.95,4.65,14.79,1
ORD,SEA,3205,8,4,15,29.18,35.24,2.07,-4.25,1
DFW,MIA,1082,10,7,10,56.37,9.67,7.73,-5.63,1
ORD,DTW,3027,8,1,18,29.01,0.91,6.41,29.07,1
LAS,MIA,1070,3,5,0,67.4,42.05,4.28,-2.2,1
DFW,SFO,715,2,7,20,13.29,33.01,2.54,-1.4,1
JFK,DTW,3185,9,1,7,21.93,39.05,6.34,31.55,1
LAS,MSP,1620,2,4,0,41.35,48.79,8.01,20.61,1
LAX,IAH,1065,9,5,8,23.94,26.05,3.81,20.24,1
ATL,MSP,2353,4,6,18,31.82,7.47,1.23,13.97,1
JFK,SEA,1308,12,6,20,36.93,56.4,2.93,18.45,1
ATL,SFO,413,2,7,8,64.23,32.72,7.14,20.09,1
DEN,BOS,3392,10,3,20,39.24,36.92,9.9,38.39,1
LAX,SFO,3403,1,7,9,27.18,56.0,1.12,1.15,1
LAX,PHX,3097,4,3,23,18.58,55.9,3.76,0.73,1
JFK,SFO,2444,9,4,22,30.65,34.33,1.56,-7.14,1
LAX,MSP,218,12,6,10,38.68,17.86,3.85,22.91,1
DFW,PHX,841,9,5,0,55.96,59.83,4.65,17.45,1
LAX,PHX,3283,4,6,19,9.08,40.85,9.29,-4.44,1
ATL,DTW,1304,9,3,7,16.62,24.51,1.73,8.23,1
ATL,DTW,529,12,7,19,28.47,33.59,7.99,-1.07,1
LAS,PHX,1065,6,4,11,27.03,24.95,4.56,6.57,1
ATL,BOS,973,1,6,0,29.38,53.3,8.3,37.56,1
LAS,DTW,591,10,4,9,59.51,28.95,5.62,24.17,1
ATL,SFO,836,6,6,3,24.31,49.41,1.35,-9.62,1
DFW,MSP,2554,9,7,14,37.64,50.41,9.52,2.63,1
CLT,SFO,3538,2,1,18,46.79,49.46,1.74,-9.48,1
LAS,BOS,3718,6,7,5,17.41,43.33,6.38,25.74,1
ORD,SEA,3712,2,6,4,53.9,51.29,8.9,13.47,1
DEN,MIA,3142,4,3,4,41.03,23.23,1.72,39.7,1
JFK,MSP,2899,8,7,17,33.51,6.88,5.99,26.68,1
ATL,DTW,3088,7,5,2,60.73,50.55,8.42,15.9,1
LAX,MSP,1225,11,3,21,18.26,29.89,9.88,30.24,1
CLT,SFO,2767,12,3,1,66.24,7.64,7.52,25.24,1
ATL,MIA,1874,9,3,3,42.08,6.92,3.51,2.19,1
LAX,IAH,2883,7,4,17,45.69,9.55,7.3,16.51,1
DEN,IAH,3580,1,2,8,65.63,45.06,7.35,17.8,1
DEN,DTW,939,2,2,18,61.32,42.65,7.3,12.56,1
DEN,BOS,1745,6,1,9,45.12,12.23,8.69,-1.04,1
LAX,IAH,668,7,3,21,56.49,50.82,1.79,1.17,1
ATL,MSP,2459,3,2,14,32.5,16.88,1.98,4.05,1
DEN,IAH,1335,9,1,0,41.05,47.58,6.77,-9.49,1
DFW,SEA,1231,7,4,10,4.66,29.33,9.58,35.85,1
LAS,SEA,3051,6,3,13,6.74,43.89,5.19,24.3,1
LAX,DTW,2724,6,5,9,62.21,22.88,9.65,24.48,1
LAX,SEA,1073,1,4,18,4.48,20.83,9.44,18.62,1
ATL,IAH,659,5,1,23,12.7,50.48,9.13,24.47,1
LAX,BOS,2500,10,4,20,59.69,2.12,9.19,39.09,1
LAX,PHX,1749,3,5,15,0.09,58.48,9.08,9.26,1
DEN,PHX,951,7,4,7,21.18,38.89,8.38,25.63,1
ATL,DTW,1661,10,1,1,43.8,25.95,7.25,7.98,1
DEN,MIA,1977,3,5,22,44.66,37.68,1.22,32.71,1
LAS,PHX,3228,5,5,6,58.29,7.36,2.19,32.9,1
CLT,PHX,1053,7,4,18,37.94,30.84,2.21,35.11,1
LAS,SEA,3932,3,5,6,38.21,59.11,1.21,-9.73,1
CLT,SEA,2483,10,7,14,54.4,14.12,2.05,4.91,1
DEN,IAH,1529,2,4,7,37.4,43.34,9.28,-3.3,1
LAS,DTW,677,6,3,13,45.64,26.1,6.97,12.7,1
ATL,MIA,2926,8,5,0,67.33,39.15,3.81,14.77,1
JFK,DTW,3291,4,4,12,30.11,12.29,8.14,2.8,1
DEN,SFO,2463,9,3,2,28.88,28.23,5.4,26.17,1
CLT,MSP,3102,12,5,20,0.27,58.81,2.28,3.49,1
DFW,MIA,334,12,3,5,46.01,11.72,8.96,32.69,1
CLT,MIA,3152,8,6,18,2.23,38.19,4.05,-1.12,1
DFW,BOS,1352,7,5,14,37.81,34.54,7.29,8.36,1
LAX,DTW,609,7,6,3,60.32,33.9,3.62,21.11,1
